Fund;Fund Type;Country;World Bank Region;Income Classification;Name of Project;Theme/Objective;Sector (OECD);DAC 5 Code;Sub-Sector;Key words;Implementing Agency;Recipient Institution;Recipient Institution type;Approved year;End year;Concessional loan;Grant;Guarantee;Equity;Amount of Funding Approved (USD millions); Disbursed (USD millions);Least Developed Country;Small Island Developing Nation;Fragile or Conflict Affected State
Partnership for Market Readiness;Multilateral;Argentina;Latin America & Caribbean;High income;Market Readiness Proposal MRP;Mitigation - General;Government & Civil Society;DAC150_;Environmental research;;;;;2016;;;0,35;;;0,35;;;;
Partnership for Market Readiness;Multilateral;Argentina;Latin America & Caribbean;High income;PMR Program Argentina;Mitigation - General;Government & Civil Society;DAC150_;Environmental research;;Secretariat of Government of Environment and Sustainable Development;World Bank;;2018;2020;;3;;;3;1,71;;;
UN-REDD Programme;Multilateral;Argentina;Latin America & Caribbean;High income;00092164 UN-REDD Argentina;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;FAO / UNDP / UNEP;"Ministry of the Environment and Sustainable Development; Ministry of Foreign Affairs and Culture";;2015;2018;;3,84;;;3,84;3,84;;;
Adaptation Fund (AF);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Artik city closed stone pit and flood management pilot project (project forumulation grant);Adaptation;Disaster Prevention & Preparedness;DAC740_;;;Environmental Project Implementation Unit (EPIU);;;2017;;;0,03;;;0,03;0,03;;;
Adaptation Fund (AF);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Artik city closed stone pit and flood management pilot project;Adaptation;Disaster Prevention & Preparedness;DAC740_;;waste management, floot management;Environmental Project Implementation Unit (EPIU);Ministry of Nature Protection of RA;;2018;;;1,44;;;1,44;1,44;;;
Adaptation Fund (AF);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Strengthening land-based adaptation capacity in communities adjacent to protected areas in Armenia (project forumulation grant);Adaptation;General Environment Protection;DAC410_;;;;;;2018;;;0,03;;;0,03;0,03;;;
Adaptation Fund (AF);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Technical assistance grant for ESP and gender (Readiness grant);Adaptation;General Environment Protection;DAC410_;;;EPIU;;;2018;;;0,02;;;0,02;0,02;;;
Adaptation Fund (AF);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Engaging future leaders: Digital education module on adaptation challenges and best practices for youth (Small Innnovation grant);Adaptation;Education;DAC110_;;;EPIU;;;2019;;;0,23;;;0,23;0,23;;;
Adaptation Fund (AF);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Strengthening land-based adaptation capacity in communities adjacent to protected areas in Armenia;Adaptation;General Environment Protection;DAC410_;;Agriculture, land degradation;Environmental Project Implementation Unit;Ministry of Nature Protection of RA;Government Agencies;2019;;;2,51;;;2,51;2,51;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Fiji;East Asia & Pacific;Upper middle income;(FP008) Fiji Urban Water Supply and Wastewater management Project;Adaptation;Water Supply & Sanitation;DAC140_;Water supply and sanitation - large systems;;ADB;Fiji Ministry of Finance;Public Sector;2015;2026;;31,04;;;31,04;31,04;;SIDS - Pacific;
Green Climate Fund IRM (GCF IRM);Multilateral;El Salvador;Latin America & Caribbean;Lower middle income;(FP009) Energy Savings Insurance (ESI) for Private Energy Efficiency Investments by Small and Medium-sized Enterprises;Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency - general;;IDB;BANDESAL;;2016;2024;20;1,7;;;21,7;21,7;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Armenia;Europe & Central Asia;Upper middle income;(FP010) De-risking and Scaling-up Investments by Small and Medium-sized Enterprises;Mitigation - General;Industry;DAC321_;Small and medium-sized enterprises (SME) development;;UNDP;Ministry of Nature Protection;Public Sector;2016;2023;;20;;;20;11,93;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Gambia;Sub-Saharan Africa;Low income;(FP011) Large-scale Ecosystem-based Adaptation in the Gambia: Developing a Climate-Resilient, Natural Resource-based Economy;Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;;UNEP;Ministry of Environment, Climate Change, Water, Forests and Wildlife;Public Sector;2016;2023;;20,55;;;20,55;20,55;LDC;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Mali;Sub-Saharan Africa;Low income;(FP012) Africa Hydromet Program - Strengthening Climate Resilience in Sub-Saharan Africa: Mali Country Project ;Adaptation;Water Supply & Sanitation;DAC140_;Hydro-electric power plants;;WB;General Directorate of Civil Protection (DGPC);;2016;2024;;22,75;;;22,75;22,75;LDC;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;(FP013) Improving the Resilience of Vulnerable Coastal Communities to Climate Change related Impacts in Viet Nam ;Multiple foci;General environment protection;DAC410_;Environmental policy and administrative management;;UNDP;Ministry of Agriculture and Rural Development;Public Sector;2016;2022;;29,52;;;29,52;29,52;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Multi-country (Tajikistan, Uzbekistan);Europe & Central Asia;Not applicable;(FP014) Climate Adaptation and Mitigation Program for the Aral Sea Basin (CAMP4ASB);Adaptation;Other Multisector;DAC430_;General environment protection;IBRD;Executive Committee for International Fund for Saving the Aral Sea;Executive Committee for International Fund for Saving the Aral Sea;;2016;2024;;19;;;19;19;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Tuvalu;East Asia & Pacific;Upper middle income;(FP015) Tuvalu Coastal Adaptation Project (TCAP);Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;;UNDP;UNDP;;2016;2024;;36,01;;;36,01;36,01;LDC;SIDS - Pacific;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Sri Lanka;South Asia;Lower middle income;(FP016) Strengthening the Resilience of Smallholder Farmers in the Dry Zone to Climate Variability and Extreme Events through an Integrated Approach to Water Management;Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;;UNDP;Ministry of Mahaweli Development and Environment (MMDE) of Sri Lanka;Public Sector;2016;2024;;38,08;;;38,08;38,08;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Chile;Latin America & Caribbean;High income;(FP017) Climate Action and Solar Energy Development Programme in the Tarapaca Region in Chile;Mitigation - General;Energy generation, renewable sources;DAC232_;Solar Energy;;CAF (Corporacion Andina de Fomento);Atacama Solar S.A.;;2016;2022;39;;;;39;33,56;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Pakistan;South Asia;Lower middle income;(FP018) Scaling-up of Glacial Lake Outburst Flood risk reduction in Northern Pakistan;Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;;UNDP;Ministry of Climate Change ;Public Sector;2016;2022;;36,96;;;36,96;36,96;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;(FP019) Priming Financial and Land-Use Planning Instruments to Reduce Emissions from Deforestation;Mitigation - General;Forestry;DAC312_;Forestry policy and administrative management;;UNDP;Ministry of Environment;Public Sector;2016;2023;;41,17;;;41,17;41,17;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Regional - Latin America and the Caribbean SIDS (Dominica, Grenada, St. Kitts and Nevis, St. Lucia, St Vincent and the Grenadines);Latin America & Caribbean;Not applicable;(FP020) Sustainable Energy Facility for the Eastern Caribbean;Mitigation - General;Energy;DAC230_;Sustainable energy;;IDB;Caribbean Development Bank (CDB);;2016;2027;60;20;;;80;19,91;;SIDS - Caribbean;
Global Environment Facility (GEF4);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Armenia Energy Efficiency Project;Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency - general;;World Bank;;;2010;;;1,82;;;1,82;1,82;;;
Global Environment Facility (GEF4);Multilateral;Armenia;Europe & Central Asia;Upper middle income;LGGE Improving Energy Efficiency in Buildings;Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency - general;;UNDP;;;2009;;;1,05;;;1,05;1,05;;;
Global Environment Facility (GEF4);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Adaptation to Climate Change Impacts in Mountain Forest Ecosystems of Armenia;Multiple Foci;General environment protection;DAC410_;Biosphere protection;;UNDP;;;2007;;;0,9;;;0,9;0,9;;;
Global Environment Facility (GEF4);Multilateral;Armenia;Europe & Central Asia;Upper middle income;Renewable Energy Project;Mitigation - General;Energy;DAC230_;Power generation/renewable sources;;IBRD;;;2006;;;3;;;3;3;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Senegal;Sub-Saharan Africa;Low income;(FP021) Senegal Integrated Urban Flood Management Project;Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;;Agence FranÁaise de Developpement (AFD) ;"Ministry of Urban Renewal, Housing and Living Environment (MinistËre du Renouveau Urbain, de líHabitat et du Cadre de Vie ñ MRUHCV); Senegal National Office for Sanitation (Office National de líAssainissement du SÈnÈgal ñ ONAS); National Agency for Civil Aviation and Meteorology (Agence Nationale de líAviation Civile et de la MÈtÈorologie ñ ANACIM); Directorate for Water Resource Planning and Management (Direction de la Gestion et la Planification des Ressources en Eau ñ DGPRE); Investment Promotion and Large Projects Agency (Agence de Promotion de líInvestissement et des Grands Travaux ñ APIX)";;2016;2025;;15,74;;;15,74;13,64;LDC;;
